food_name,region,category,ingredients,preparation_steps,cooking_time_minutes
kachori,Rajasthan,Snack,"For Dough: All-purpose flour (2 cups), Ghee (1/4 cup), Salt (a pinch), Water (as needed). For Filling: Yellow moong dal (1 cup), Fennel seeds (1 tsp), Cumin seeds (1 tsp), Coriander seeds (1 tbsp), Ginger (1 inch), Green chilies (2), Asafoetida (a pinch), Red chili powder (1 tsp), Turmeric powder (1/4 tsp), Garam masala (1/2 tsp), Oil (2 tbsp), Salt (to taste), Oil (for deep frying)","1. For Filling: Wash and soak moong dal for 2 hours. Drain and coarsely grind. Dry roast and grind fennel, cumin, and coriander seeds. Heat oil, add asafoetida, ginger, and green chilies. Add ground dal and spices. Cook until mixture is dry. Cool completely. 2. For Dough: Mix flour, salt, and ghee. Add water to form a firm dough. Cover and rest for 30 minutes. 3. Divide dough into small balls. Roll each ball into a small circle. Place a spoonful of filling in the center. Bring edges together and seal. Flatten slightly with palm. 4. Heat oil and deep fry kachoris on medium heat until golden brown and crisp. 5. Drain on paper towels and serve hot with tamarind or mint chutney.",60
kadai_paneer,North India,Vegetarian Main,"Paneer (250g), Bell peppers (2 medium), Onions (2 medium), Tomatoes (3 medium), Ginger-garlic paste (1 tbsp), Green chilies (2), Kadai masala (2 tbsp), Turmeric powder (1/4 tsp), Red chili powder (1 tsp), Coriander powder (1 tbsp), Garam masala (1/2 tsp), Oil (3 tbsp), Butter (2 tbsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. For kadai masala, dry roast coriander seeds, cumin seeds, and dry red chilies. Grind to a powder. 2. Cut paneer into cubes and bell peppers into squares. 3. Heat oil and butter in a kadai or pan. 4. Add chopped onions and sauté until golden brown. 5. Add ginger-garlic paste and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add turmeric, red chili powder, kadai masala, and salt. 8. Add paneer cubes and bell peppers, mix gently. 9. Cook for 5-7 minutes on medium heat. 10. Add garam masala and mix. 11. Garnish with fresh coriander leaves and serve hot.",30
kadhi_pakoda,North India,Soup,"For Pakodas: Gram flour (1 cup), Onion (1 medium), Green chilies (2), Ginger (1/2 inch), Cumin seeds (1/2 tsp), Turmeric powder (1/4 tsp), Red chili powder (1/2 tsp), Salt (to taste), Oil (for deep frying). For Kadhi: Yogurt (2 cups), Gram flour (1/2 cup), Turmeric powder (1/2 tsp), Red chili powder (1/2 tsp), Cumin seeds (1 tsp), Mustard seeds (1/2 tsp), Fenugreek seeds (1/4 tsp), Curry leaves (10-12), Dried red chilies (2), Ginger (1 inch), Garlic (4 cloves), Green chilies (2), Asafoetida (a pinch), Ghee (2 tbsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. For Pakodas: Mix gram flour with chopped onions, green chilies, ginger, cumin seeds, turmeric, red chili powder, and salt. Add water to make a thick batter. Heat oil and drop spoonfuls of batter. Fry until golden brown. Drain and set aside. 2. For Kadhi: Whisk yogurt and gram flour until smooth. Add 4 cups water, turmeric, red chili powder, and salt. Heat ghee in a pan, add cumin seeds, mustard seeds, and fenugreek seeds. When they splutter, add dried red chilies, curry leaves, ginger, garlic, and green chilies. Add asafoetida and the yogurt mixture. Bring to a boil, then simmer for 15-20 minutes, stirring occasionally. 3. Add fried pakodas to the kadhi and simmer for another 5 minutes. 4. Garnish with fresh coriander leaves and serve hot with rice.",45
kajjikaya,Andhra Pradesh,Sweet,"Rice flour (2 cups), Grated coconut (2 cups), Jaggery (1.5 cups), Cardamom powder (1/2 tsp), Ghee (1/4 cup), Water (as needed), Oil (for deep frying)","1. Mix rice flour with a pinch of salt, 2 tbsp ghee, and enough warm water to form a firm dough. Cover and let rest for 15 minutes. 2. For filling, heat a pan and add grated coconut, jaggery, and cardamom powder. Cook until jaggery melts and mixture thickens. Remove from heat and cool. 3. Divide dough into small balls. Roll each ball into a thin circle. 4. Place a spoonful of filling in the center. Fold into a half-moon shape and seal the edges. 5. Crimp the edges decoratively. 6. Heat oil and deep fry until golden brown. 7. Drain on paper towels and serve when cool.",60
kakinada_khaja,Andhra Pradesh,Sweet,"All-purpose flour (2 cups), Ghee (1/4 cup), Sugar (2 cups), Water (1 cup), Cardamom powder (1/2 tsp), Oil (for deep frying)","1. Mix flour with a pinch of salt and 2 tbsp ghee. Add water gradually to form a firm dough. 2. Cover and let rest for 30 minutes. 3. Divide the dough into small balls. 4. Roll each ball into a thin rectangle. 5. Apply a thin layer of ghee, fold, and roll again. Repeat this process 3-4 times. 6. Cut into small squares or diamonds. 7. Heat oil and deep fry until golden brown and crisp. 8. Make sugar syrup by boiling sugar with 1 cup water and cardamom powder until it reaches one-string consistency. 9. Dip fried khajas in hot syrup for 2-3 minutes. 10. Remove and allow to cool before serving.",60
kalakand,North India,Sweet,"Milk (1 liter), Lemon juice (2 tbsp), Sugar (1 cup), Cardamom powder (1/2 tsp), Pistachios (2 tbsp chopped), Almonds (2 tbsp sliced), Ghee (for greasing)","1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Transfer the chenna to a heavy-bottomed pan. 4. Add sugar and mix well. 5. Cook on low heat, stirring continuously until the mixture thickens and starts leaving the sides of the pan. 6. Add cardamom powder and mix. 7. Grease a plate or tray with ghee. 8. Spread the mixture evenly on the greased plate. 9. Garnish with chopped pistachios and almonds. 10. Allow to cool and set for 2-3 hours. 11. Cut into squares and serve.",45
karela_bharta,Bihar,Vegetarian Side,"Bitter gourd/Karela (4 medium), Onion (1 large), Tomatoes (2 medium), Ginger (1 inch), Garlic (4 cloves), Green chilies (2), Cumin seeds (1 tsp), Turmeric powder (1/4 tsp), Red chili powder (1 tsp), Coriander powder (1 tbsp), Garam masala (1/2 tsp), Amchur powder (1/2 tsp), Oil (3 tbsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. Wash karela and scrape the outer skin lightly. Cut into halves lengthwise and remove seeds. 2. Chop into small pieces and boil with salt until tender. Drain and mash coarsely. 3. Heat oil in a pan, add cumin seeds. 4. Add chopped onions and sauté until golden brown. 5. Add ginger, garlic, and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add turmeric, red chili powder, coriander powder, and salt. 8. Add mashed karela and mix well. 9. Cook for 5-7 minutes on medium heat. 10. Add garam masala and amchur powder. 11. Garnish with fresh coriander leaves and serve hot.",40
kofta,North India,Vegetarian Main,"For Kofta: Potatoes (3 large), Paneer (200g), Green peas (1/2 cup boiled), Ginger (1 inch grated), Green chilies (2 finely chopped), Coriander leaves (1/4 cup chopped), Cornflour (2 tbsp), Garam masala (1/2 tsp), Red chili powder (1/2 tsp), Salt (to taste), Oil (for deep frying). For Gravy: Onions (2 large), Tomatoes (3 large), Cashew nuts (15-20), Ginger-garlic paste (1 tbsp), Red chili powder (1 tsp), Turmeric powder (1/4 tsp), Coriander powder (1 tbsp), Garam masala (1 tsp), Cream (1/4 cup), Kasuri methi (1 tbsp), Oil (3 tbsp), Butter (2 tbsp), Salt (to taste)","1. For Kofta: Boil, peel and mash potatoes. Grate or crumble paneer. Mix potatoes, paneer, peas, ginger, green chilies, coriander leaves, cornflour, garam masala, red chili powder, and salt. Shape into balls. Heat oil and deep fry until golden brown. Drain and set aside. 2. For Gravy: Soak cashew nuts in warm water for 30 minutes. Blend onions to a paste. Blend tomatoes and soaked cashews to a smooth paste. Heat oil and butter in a pan. Add onion paste and sauté until golden. Add ginger-garlic paste and sauté for 1 minute. Add tomato-cashew paste and spices. Cook until oil separates. Add 1 cup water and bring to a boil. Simmer for 5 minutes. Add cream and kasuri methi. 3. Add fried koftas just before serving to prevent them from breaking. 4. Garnish with cream and serve hot with naan or rice.",60
kuzhi_paniyaram,Tamil Nadu,Snack,"Idli/Dosa batter (2 cups), Onion (1 small), Green chilies (2), Ginger (1/2 inch), Curry leaves (10-12), Mustard seeds (1/2 tsp), Urad dal (1 tsp), Chana dal (1 tsp), Asafoetida (a pinch), Oil (2 tbsp plus more for cooking), Salt (to taste), Fresh coriander leaves (for garnish)","1. Heat 2 tbsp oil in a pan, add mustard seeds. 2. When they splutter, add urad dal and chana dal. 3. Add chopped ginger, green chilies, curry leaves, and asafoetida. 4. Add chopped onions and sauté until translucent. 5. Remove from heat and cool. 6. Add this tempering to the idli/dosa batter along with salt and mix well. 7. Heat a paniyaram pan and add a few drops of oil in each mold. 8. Pour the batter into each mold until 3/4th full. 9. Cover and cook on low heat for 3-4 minutes. 10. Flip and cook the other side until golden brown. 11. Remove and serve hot with coconut chutney or sambar.",30
lassi,Punjab,Beverage,"Yogurt (2 cups), Sugar (4 tbsp), Water (1/2 cup), Cardamom powder (1/4 tsp), Saffron strands (a few, optional), Ice cubes (as needed), Mint leaves (for garnish)","1. In a blender, add yogurt, sugar, water, cardamom powder, and saffron if using. 2. Blend until smooth and frothy. 3. Add ice cubes and blend again. 4. Pour into glasses. 5. Garnish with mint leaves and serve chilled.",10
ledikeni,Bengal,Sweet,"Milk (1 liter), Lemon juice (2 tbsp), Sugar (2 cups), Water (1 cup), Cardamom pods (4), Rose water (1 tsp), Saffron strands (a few), Food color (red, optional), Oil (for deep frying)","1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Add a few drops of red food color if using and knead again. 6. Shape into oval cylinders. 7. Make sugar syrup by boiling sugar with water, cardamom pods, and saffron. 8. Heat oil and deep fry the shaped chenna on low heat until golden brown. 9. Remove and immediately soak in warm sugar syrup for 2-3 minutes. 10. Add rose water to the syrup. 11. Allow to soak for at least 2 hours before serving.",60
litti_chokha,Bihar,Main Course,"For Litti: Whole wheat flour (2 cups), Ghee (1/4 cup), Ajwain/Carom seeds (1 tsp), Salt (to taste), Water (as needed). For Filling: Sattu/Roasted gram flour (1 cup), Onion (1 small), Ginger (1 inch), Green chilies (2), Garlic (4 cloves), Mustard oil (2 tbsp), Lemon juice (1 tbsp), Pickle masala (1 tbsp), Salt (to taste). For Chokha: Eggplant (1 large), Potatoes (2 medium), Tomatoes (2 medium), Onion (1 medium), Green chilies (2), Ginger (1 inch), Garlic (4 cloves), Mustard oil (2 tbsp), Lemon juice (1 tbsp), Fresh coriander leaves (for garnish), Salt (to taste)","1. For Litti: Mix flour, ghee, ajwain, and salt. Add water to form a firm dough. Cover and rest for 30 minutes. For filling, mix sattu with finely chopped onion, ginger, green chilies, garlic, mustard oil, lemon juice, pickle masala, and salt. Add water if needed to make a crumbly mixture. Divide dough into balls. Flatten each ball, place filling in center, and seal to form a stuffed ball. Bake in a preheated oven at 350°F for 20-25 minutes or cook on coal/wood fire. Brush with ghee. 2. For Chokha: Roast eggplant, potatoes, and tomatoes directly on flame until skin is charred and inside is soft. Peel and mash. Add finely chopped onion, green chilies, ginger, garlic, mustard oil, lemon juice, and salt. Mix well and garnish with fresh coriander leaves. 3. Serve hot litti with chokha.",60
lyangcha,Bengal,Sweet,"Milk (1 liter), Lemon juice (2 tbsp), All-purpose flour (1/4 cup), Baking powder (1/4 tsp), Sugar (2 cups), Water (1 cup), Cardamom pods (4), Rose water (1 tsp), Saffron strands (a few), Oil (for deep frying)","1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Add flour and baking powder, knead again until well combined. 6. Shape into cylindrical logs about 3 inches long. 7. Make sugar syrup by boiling sugar with water, cardamom pods, and saffron. 8. Heat oil and deep fry the shaped chenna on low heat until golden brown. 9. Remove and immediately soak in warm sugar syrup for 2-3 minutes. 10. Add rose water to the syrup. 11. Allow to soak for at least 2 hours before serving.",60
maach_jhol,Bengal,Non-Vegetarian Main,"Fish (500g, preferably rohu or catla), Mustard oil (4 tbsp), Onion (1 large), Tomatoes (2 medium), Ginger (1 inch), Garlic (4 cloves), Green chilies (3-4), Cumin seeds (1 tsp), Turmeric powder (1 tsp), Red chili powder (1 tsp), Coriander powder (1 tbsp), Cumin powder (1 tsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. Clean fish and cut into medium-sized pieces. 2. Marinate fish with salt and 1/2 tsp turmeric powder for 15 minutes. 3. Heat mustard oil in a pan until it reaches smoking point, then reduce heat. 4. Fry fish pieces until golden brown on both sides. Remove and set aside. 5. In the same oil, add cumin seeds. 6. Add finely chopped onions and sauté until golden brown. 7. Add ginger-garlic paste and green chilies, sauté for 1 minute. 8. Add chopped tomatoes and cook until soft. 9. Add remaining turmeric, red chili powder, coriander powder, cumin powder, and salt. 10. Add 2 cups water and bring to a boil. 11. Add fried fish pieces and simmer for 5-7 minutes. 12. Garnish with fresh coriander leaves and serve hot with rice.",45
makki_di_roti_sarson_da_saag,Punjab,Main Course,"For Sarson da Saag: Mustard greens (500g), Spinach (250g), Bathua/Chenopodium leaves (100g, optional), Ginger (1 inch), Garlic (6 cloves), Green chilies (3-4), Onion (1 large), Tomatoes (2 medium), Makki ka atta/Cornmeal (2 tbsp), Ghee (3 tbsp), Cumin seeds (1 tsp), Red chili powder (1/2 tsp), Salt (to taste). For Makki di Roti: Makki ka atta/Cornmeal (2 cups), Water (as needed), Salt (to taste), Ghee (for serving)","1. For Sarson da Saag: Wash all greens thoroughly. Chop and pressure cook with ginger, garlic, and green chilies until soft. Blend coarsely. Heat ghee in a pan, add cumin seeds. Add chopped onions and sauté until golden. Add chopped tomatoes and cook until soft. Add blended greens, cornmeal, red chili powder, and salt. Simmer for 15-20 minutes, stirring occasionally. 2. For Makki di Roti: Mix cornmeal with salt and enough water to form a firm dough. Divide into balls. Take a ball, flatten slightly, and place on a greased plastic sheet. Pat and spread into a round roti using wet fingers. Carefully transfer to a hot tawa/griddle. Cook until brown spots appear on both sides. Apply ghee. 3. Serve hot makki di roti with sarson da saag topped with a dollop of butter or ghee.",60
malapua,Bihar,Sweet,"All-purpose flour (1 cup), Semolina (1/4 cup), Milk (1/2 cup), Mashed ripe banana (1), Fennel seeds (1 tsp), Cardamom powder (1/2 tsp), Baking powder (1/4 tsp), Sugar (1.5 cups), Water (1 cup), Saffron strands (a few), Ghee (for deep frying), Pistachios (chopped, for garnish)","1. Mix flour, semolina, mashed banana, fennel seeds, cardamom powder, and baking powder in a bowl. 2. Add milk gradually to form a thick batter. 3. Let the batter rest for 1-2 hours. 4. Make sugar syrup by boiling sugar with water and saffron until it reaches one-string consistency. 5. Heat ghee in a pan. 6. Pour a ladleful of batter and spread slightly to form a small pancake. 7. Fry on medium heat until golden brown on both sides. 8. Remove and immediately soak in warm sugar syrup for 1-2 minutes. 9. Garnish with chopped pistachios and serve warm or at room temperature.",45
misi_roti,Punjab,Bread,"Whole wheat flour (2 cups), Gram flour (1/2 cup), Onion (1 small), Green chilies (2), Ginger (1/2 inch), Ajwain/Carom seeds (1 tsp), Red chili powder (1/2 tsp), Coriander powder (1 tsp), Garam masala (1/2 tsp), Fresh coriander leaves (2 tbsp chopped), Salt (to taste), Ghee (2 tbsp plus more for brushing), Water (as needed)","1. Mix whole wheat flour, gram flour, finely chopped onion, green chilies, ginger, ajwain, red chili powder, coriander powder, garam masala, fresh coriander leaves, salt, and ghee in a bowl. 2. Add water gradually and knead into a firm dough. 3. Cover and let rest for 15-30 minutes. 4. Divide into small balls. 5. Roll each ball into a thick circle. 6. Heat a tawa/griddle and place the rolled roti on it. 7. Cook until small bubbles appear, flip and cook the other side. 8. Apply ghee on both sides and cook until brown spots appear. 9. Serve hot with yogurt, pickle, or vegetable curry.",30
misti_doi,Bengal,Sweet,"Milk (1 liter), Sugar (1/2 cup), Jaggery (1/2 cup), Plain yogurt (2 tbsp), Cardamom powder (1/2 tsp)","1. Boil milk in a heavy-bottomed pan. 2. Reduce heat and simmer until milk reduces to half its volume. 3. Add sugar and jaggery, mix until dissolved. 4. Allow the milk to cool to lukewarm temperature. 5. Add plain yogurt and mix well. 6. Add cardamom powder and mix. 7. Pour into earthen pots or ceramic bowls. 8. Cover and keep in a warm place for 8-10 hours or overnight to set. 9. Refrigerate for a few hours before serving.",30
modak,Maharashtra,Sweet,"For Outer Covering: Rice flour (2 cups), Water (2 cups), Ghee (2 tbsp), Salt (a pinch). For Filling: Fresh coconut (2 cups grated), Jaggery (1.5 cups grated), Cardamom powder (1/2 tsp), Nutmeg powder (a pinch), Poppy seeds (1 tbsp, optional), Ghee (1 tbsp)","1. For Filling: Heat ghee in a pan, add grated coconut and sauté for 2-3 minutes. Add grated jaggery and mix well. Cook on low heat until jaggery melts and mixture thickens. Add cardamom powder, nutmeg powder, and poppy seeds if using. Mix well and remove from heat. Allow to cool. 2. For Outer Covering: Boil water with salt and 1 tbsp ghee. Add rice flour gradually, stirring continuously to avoid lumps. Mix well until it forms a soft dough. Cover and keep aside for 5 minutes. Apply remaining ghee on your palms, take a small portion of the dough, and flatten it. Place a spoonful of filling in the center. Bring the edges together and seal, forming a modak shape with decorative ridges. 3. Steam the modaks in a steamer for 10-12 minutes. 4. Serve hot with a drizzle of ghee.",45
mysore_pak,Karnataka,Sweet,"Gram flour (1 cup), Ghee (1.5 cups), Sugar (1.5 cups), Water (3/4 cup), Cardamom powder (1/2 tsp)","1. Sieve gram flour to remove any lumps. 2. Melt 2 tbsp ghee and mix with gram flour. 3. Make sugar syrup by boiling sugar with water until it reaches one-string consistency. 4. Add the gram flour mixture to the sugar syrup, stirring continuously to avoid lumps. 5. Cook on low heat, stirring continuously. 6. Add remaining ghee gradually, a few tablespoons at a time, stirring after each addition. 7. Continue cooking until the mixture thickens and starts leaving the sides of the pan. 8. Add cardamom powder and mix. 9. Grease a plate or tray with ghee. 10. Pour the mixture onto the greased plate. 11. Level the surface and allow to cool for 5 minutes. 12. Cut into squares or diamonds while still warm. 13. Allow to cool completely before removing the pieces.",30
naan,North India,Bread,"All-purpose flour (2 cups), Yogurt (1/2 cup), Warm milk (1/4 cup), Warm water (as needed), Active dry yeast (1 tsp), Sugar (1 tsp), Salt (1/2 tsp), Baking powder (1/4 tsp), Baking soda (1/4 tsp), Ghee/Butter (2 tbsp plus more for brushing), Garlic (minced, optional), Coriander leaves (chopped, optional)","1. Activate yeast in warm milk with sugar for 10 minutes. 2. Mix flour, salt, baking powder, and baking soda in a bowl. 3. Add yogurt, activated yeast mixture, and ghee. 4. Knead into a soft dough, adding warm water as needed. 5. Cover and let rise for 2-3 hours until doubled. 6. Divide into balls and roll into oval or round shapes. 7. For garlic naan, press minced garlic and coriander on top. 8. Cook on a hot tawa/skillet, then directly on flame or under a broiler until bubbles form and it's partially charred. 9. Brush with butter and serve hot.",150
navrattan_korma,North India,Vegetarian Main,"Mixed vegetables (carrots, beans, peas, potatoes, cauliflower - 3 cups), Paneer (200g), Cashew nuts (15-20), Raisins (2 tbsp), Onions (2 medium), Tomatoes (2 medium), Ginger-garlic paste (1 tbsp), Green chilies (2), Turmeric powder (1/4 tsp), Red chili powder (1 tsp), Coriander powder (1 tbsp), Garam masala (1 tsp), Cream (1/2 cup), Ghee (3 tbsp), Oil (2 tbsp), Salt (to taste), Fresh coriander leaves (for garnish), Almonds and cashews (sliced, for garnish)","1. Boil mixed vegetables until just tender. Drain and set aside. 2. Cut paneer into cubes. 3. Soak cashew nuts in warm water for 30 minutes, then grind into a smooth paste. 4. Heat ghee and oil in a pan, add finely chopped onions and sauté until golden brown. 5. Add ginger-garlic paste and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add turmeric, red chili powder, coriander powder, and salt. 8. Add cashew paste and cook for 2-3 minutes. 9. Add boiled vegetables, paneer cubes, and raisins. 10. Add 1/2 cup water and simmer for 5-7 minutes. 11. Add cream and garam masala, simmer for another 2-3 minutes. 12. Garnish with fresh coriander leaves, sliced almonds, and cashews. 13. Serve hot with naan or rice.",45
palak_paneer,North India,Vegetarian Main,"Spinach (500g), Paneer (250g), Onion (1 medium), Tomato (1 medium), Ginger (1 inch), Garlic (4 cloves), Green chilies (2), Cumin seeds (1 tsp), Garam masala (1/2 tsp), Turmeric powder (1/4 tsp), Red chili powder (1/2 tsp), Cream (2 tbsp), Butter (2 tbsp), Oil (2 tbsp), Salt (to taste)","1. Blanch spinach in hot water for 2 minutes, then put in cold water. 2. Blend blanched spinach into a smooth puree. 3. Cut paneer into cubes and lightly fry until golden. 4. Heat oil and butter in a pan, add cumin seeds. 5. Add chopped onions and sauté until translucent. 6. Add ginger, garlic, and green chilies, sauté for 1 minute. 7. Add chopped tomatoes and cook until soft. 8. Add spices and salt, mix well. 9. Add spinach puree and simmer for 5 minutes. 10. Add paneer cubes and cream, simmer for another 5 minutes.",35
paneer_butter_masala,North India,Vegetarian Main,"Paneer (250g), Onions (2 medium), Tomatoes (3 medium), Cashew nuts (15-20), Ginger-garlic paste (1 tbsp), Green chilies (2), Butter (4 tbsp), Oil (2 tbsp), Cumin seeds (1 tsp), Turmeric powder (1/4 tsp), Red chili powder (1 tsp), Coriander powder (1 tbsp), Garam masala (1 tsp), Dried fenugreek leaves (1 tbsp), Cream (1/4 cup), Sugar (1 tsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. Cut paneer into cubes and lightly fry until golden. Set aside. 2. Soak cashew nuts in warm water for 30 minutes. 3. Blend soaked cashews, onions, tomatoes, and green chilies into a smooth paste. 4. Heat butter and oil in a pan, add cumin seeds. 5. Add ginger-garlic paste and sauté for 1 minute. 6. Add the blended paste and cook until oil separates. 7. Add turmeric, red chili powder, coriander powder, and salt. 8. Cook for 2-3 minutes, then add 1/2 cup water. 9. Add fried paneer cubes and simmer for 5-7 minutes. 10. Add cream, garam masala, dried fenugreek leaves, and sugar. 11. Simmer for another 2-3 minutes. 12. Garnish with fresh coriander leaves and serve hot with naan or rice.",40
phirni,North India,Sweet,"Basmati rice (1/2 cup), Milk (1 liter), Sugar (3/4 cup), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Rose water (1/2 tsp)","1. Wash and soak rice for 2 hours. 2. Drain and grind to a coarse paste. 3. Boil milk in a heavy-bottomed pan. 4. Add ground rice paste and cook on low heat, stirring continuously. 5. Cook until milk thickens and rice is cooked. 6. Add sugar and mix until dissolved. 7. Add cardamom powder, saffron strands, and half of the nuts. 8. Simmer for another 5 minutes. 9. Remove from heat, add rose water. 10. Pour into earthen pots or small bowls. 11. Garnish with remaining nuts. 12. Refrigerate for at least 2 hours before serving.",45
pithe,Bengal,Sweet,"Rice flour (2 cups), Grated coconut (2 cups), Jaggery (1.5 cups), Cardamom powder (1/2 tsp), Milk (1/2 cup), Water (as needed), Ghee (2 tbsp)","1. Mix rice flour with a pinch of salt and enough warm water to form a soft dough. 2. Cover and let rest for 15 minutes. 3. For filling, heat a pan and add grated coconut, jaggery, and cardamom powder. 4. Cook until jaggery melts and mixture thickens. Remove from heat and cool. 5. Divide dough into small balls. Roll each ball into a thin circle. 6. Place a spoonful of filling in the center. Fold into a half-moon shape and seal the edges. 7. Alternatively, shape into dumplings. 8. Heat milk with 2 cups water and bring to a boil. 9. Add the prepared pithes and cook until they float to the surface. 10. Remove, drain, and serve warm with a drizzle of ghee.",60
poha,Maharashtra,Breakfast,"Flattened rice/Poha (2 cups), Potatoes (2 medium), Onions (2 medium), Green peas (1/2 cup), Peanuts (1/4 cup), Curry leaves (10-12), Green chilies (2-3), Mustard seeds (1 tsp), Turmeric powder (1/2 tsp), Sugar (1 tsp), Lemon juice (2 tbsp), Oil (3 tbsp), Salt (to taste), Fresh coriander leaves (for garnish)","1. Wash poha in a colander and sprinkle with water. Set aside for 5 minutes until soft. 2. Heat oil in a pan, add mustard seeds. 3. When they splutter, add peanuts and fry until golden. 4. Add curry leaves and chopped green chilies. 5. Add chopped onions and sauté until translucent. 6. Add diced potatoes and green peas, cover and cook until tender. 7. Add turmeric powder and salt, mix well. 8. Add softened poha and mix gently. 9. Cover and cook on low heat for 2-3 minutes. 10. Add sugar and lemon juice, mix well. 11. Garnish with fresh coriander leaves and serve hot with coconut chutney.",25
poornalu,Andhra Pradesh,Sweet,"Rice flour (2 cups), Jaggery (1.5 cups), Grated coconut (1 cup), Cardamom powder (1/2 tsp), Ghee (2 tbsp), Water (as needed), Oil (for deep frying)","1. Mix rice flour with a pinch of salt and enough warm water to form a soft dough. 2. Cover and let rest for 15 minutes. 3. For filling, heat a pan and add grated coconut, jaggery, and cardamom powder. 4. Cook until jaggery melts and mixture thickens. Remove from heat and cool. 5. Divide dough into small balls. Roll each ball into a thin circle. 6. Place a spoonful of filling in the center. Bring edges together and seal to form a ball. 7. Flatten slightly with palm. 8. Heat oil and deep fry until golden brown on both sides. 9. Drain on paper towels and serve warm or at room temperature.",45
pootharekulu,Andhra Pradesh,Sweet,"Rice flour (2 cups), Sugar (1.5 cups), Ghee (1/4 cup), Cardamom powder (1/2 tsp), Cashew nuts (2 tbsp chopped), Almonds (2 tbsp sliced)","1. Make a thin batter with rice flour and water. 2. Heat a cloth stretched over a pot of boiling water. 3. Pour a small amount of batter on the hot cloth and spread it thinly. 4. When cooked, carefully peel off the thin rice paper. 5. Repeat to make multiple sheets. 6. In a separate pan, melt ghee and add powdered sugar, cardamom powder, and chopped nuts. 7. Place a rice paper sheet on a clean surface, sprinkle with the sugar-ghee mixture. 8. Fold the sheet multiple times to create layers. 9. Repeat with remaining sheets. 10. Allow to cool before serving.",60
qubani_ka_meetha,Hyderabad,Sweet,"Dried apricots (250g), Sugar (1 cup), Water (2 cups), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp blanched and sliced), Fresh cream or ice cream (for serving)","1. Wash and soak dried apricots in water overnight. 2. Pressure cook soaked apricots with the same water until soft. 3. Remove seeds from cooked apricots. 4. Mash half of the apricots and keep the rest whole. 5. Add sugar, cardamom powder, and saffron to the apricot mixture. 6. Cook on low heat until the mixture thickens slightly. 7. Remove from heat and allow to cool. 8. Garnish with sliced almonds. 9. Serve chilled with fresh cream or ice cream on top.",30
rabri,North India,Sweet,"Milk (1 liter), Sugar (1/2 cup), Cardamom powder (1/2 tsp), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Rose water (1/2 tsp)","1. Boil milk in a wide, heavy-bottomed pan. 2. Reduce heat to low and simmer, stirring occasionally. 3. As cream forms on top, gently push it to the sides of the pan. 4. Continue this process for 1-1.5 hours until milk reduces to one-third of its original volume. 5. Add sugar and mix until dissolved. 6. Add cardamom powder, saffron strands, and half of the nuts. 7. Simmer for another 5 minutes. 8. Remove from heat, add rose water. 9. Garnish with remaining nuts. 10. Serve chilled.",90
ras_malai,Bengal,Sweet,"Milk (1 liter), Lemon juice (2 tbsp), Sugar (1 cup), Milk (1 liter for rabri), Cardamom pods (4-5), Saffron strands (a few), Almonds (2 tbsp sliced), Pistachios (2 tbsp chopped), Rose water (1 tsp)","1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Divide into small balls and flatten slightly. 6. Make sugar syrup by boiling sugar with 2 cups water. 7. Add flattened chenna balls to the boiling syrup. 8. Cover and cook for 15 minutes. 9. For rabri, boil milk in a wide pan and reduce to half, following the rabri recipe above. 10. Add cardamom, saffron, and half of the nuts to the rabri. 11. Add cooked chenna balls to the rabri. 12. Refrigerate for a few hours. 13. Garnish with remaining nuts and rose water before serving.",120
